R782	:4HOXPACDOX_NADP_
R783	:4NPHSULT
R784	:5ADTSTSTERONESULT
R785	:5HLTDL
R786	:5HOXINDACTO2OX
R787	:5HOXINDACTOXm
R788	:5HOXINOXDA
R789	:5HTRPDOX
R790	:5HXKYNDCL
R791	:5HXKYNOXDA
R792	:A_MANASE
R793	:A_MANASEly
R794	:A4GALTc
R795	:A4GALTg
R796	:A4GNT1g
R797	:A4GNT2g
R798	:AACOAT
R799	:AACTOOR
R800	:AASAD3m
R801	:AATAi
R802	:ABO1g
R803	:ABO2g
R804	:ABO3g
R805	:ABO4g
R806	:ABO5g
R807	:ABO6g
R808	:ABO7g
R809	:ABO8g
R810	:ABO9g
R811	:ABTArm
R812	:ABTD
R813	:ABUTD
R814	:ACACT10m
R815	:ACACT1r
R816	:ACACT1rm
R817	:ACACT1x
R818	:ACACT4p
R819	:ACACT5p
R820	:ACACT6p
R821	:ACACT7p
R822	:ACACT8p
R823	:ACACT9p
R824	:ACCOAC
R825	:ACCOACm
R826	:ACCOAL
R827	:ACCOALm
R828	:ACGALK
R829	:ACGALK2
R830	:ACGAM2E
R831	:ACGAM6PSi
R832	:ACGAMK
R833	:ACGAMPM
R834	:ACGPID
R835	:ACGSm
R836	:ACHEe
R837	:ACITL
R838	:ACNAM9PL
R839	:ACNAM9PL2
R840	:ACNAMPH
R841	:ACNMLr
R842	:ACOAD10m
R843	:ACOAD1fm
R844	:ACOAD8m
R845	:ACOAD9m
R846	:ACOAHi
R847	:ACOAO7p
R848	:ACOATA
R849	:ACODA
R850	:ACONT
R851	:ACONTm
R852	:ACOX22x
R853	:ACOX2x
R854	:ACP1_FMN_
R855	:ACS
R856	:ACS2
R857	:ACSm
R858	:ACSOMT
R859	:ACSRTNMT
R860	:ACTLMO
R861	:ACTNMO
R862	:ACYP
R863	:ADA
R864	:ADAe
R865	:ADCim
R866	:ADK1
R867	:ADK1m
R868	:ADK3
R869	:ADK3m
R870	:ADKd
R871	:ADMDC
R872	:ADNCYC
R873	:ADNK1
R874	:ADNK1m
R875	:ADPGLC
R876	:ADPMAN
R877	:ADPRDP
R878	:ADPRDPm
R879	:ADPT
R880	:ADRNCPT1
R881	:ADRNCPT2
R882	:ADSELK
R883	:ADSK
R884	:ADSL1
R885	:ADSL2
R886	:ADSS
R887	:AG13T10g
R888	:AG13T11g
R889	:AG13T12g
R890	:AG13T13g
R891	:AG13T14g
R892	:AG13T15g
R893	:AG13T16g
R894	:AG13T17g
R895	:AG13T18g
R896	:AG13T1g
R897	:AG13T2g
R898	:AG13T3g
R899	:AG13T4g
R900	:AG13T5g
R901	:AG13T6g
R902	:AG13T7g
R903	:AG13T8g
R904	:AG13T9g
R905	:AGDC
R906	:AGLPC
R907	:AGLPED
R908	:AGLPET
R909	:AGLPH
R910	:AGLPR
R911	:AGLPT
R912	:AGMTm
R913	:AGPAT1
R914	:AGPRim
R915	:AGTim
R916	:AGTix
R917	:AHC
R918	:AHEXASE2ly
R919	:AHEXASEly
R920	:AICART
R921	:AKGDm
R922	:AKR1C1
R923	:AKR1C41
R924	:AKR1C42
R925	:AKR1D
R926	:AKR1D2
R927	:ALAR
R928	:ALASm
R929	:ALATA_L
R930	:ALCD1
R931	:ALCD21_L
R932	:ALCD22_L
R933	:ALCD2if
R934	:ALCD2yf
R935	:ALDD20x
R936	:ALDD20xm
R937	:ALDD21
R938	:ALDD2x
R939	:ALDD2xm
R940	:ALDD2y
R941	:ALKP
R942	:ALOX12
R943	:ALOX12R
R944	:ALOX15
R945	:ALOX5
R946	:ALOX52
R947	:ALR2
R948	:ALR3
R949	:AMACR2p
R950	:AMACR2r
R951	:AMACRp
R952	:AMACRr
R953	:AMANK
R954	:AMCOXO
R955	:AMPDA
R956	:AMPTASECG
R957	:AMPTASECGe
R958	:AMY1e
R959	:AMY2e
R960	:AOBUTDsm
R961	:AP4AH1
R962	:APAT2rm
R963	:APOCF
R964	:APOCFm
R965	:APOC_LYS_BTNP
R966	:APOC_LYS_BTNPm
R967	:APRTO2
R968	:ARABR
R969	:ARACHCPT1
R970	:ARACHCPT2
R971	:ARGDCm
R972	:ARGN
R973	:ARGNm
R974	:ARGSL
R975	:ARGSS
R976	:ARSA
R977	:ARTCOAL1
R978	:R_group_phosphotase_1
R979	:ARTFR207
R980	:ARTFR31
R981	:ARTFR51
R982	:ARTPLM1
R983	:ARTPLM1m
R984	:ASAH1
R985	:ASCBOX
R986	:ASNNm
R987	:ASNS1
R988	:ASP1DC
R989	:ASPCTr
R990	:ASPNATm
R991	:ASPTA
R992	:ASPTAm
R993	:ATPH1e
R994	:ATPH2e
R995	:B_MANNASEly
R996	:B3GALT3g
R997	:B3GALT41g
R998	:B3GALT42g
R999	:B3GALT43g
R1000	:B3GALT44g
R1001	:B3GALT5g
R1002	:B3GALTg
R1003	:B3GNT11g
R1004	:B3GNT12g
R1005	:B3GNT310g
R1006	:B3GNT311g
R1007	:B3GNT312g
R1008	:B3GNT313g
R1009	:B3GNT314g
R1010	:B3GNT315g
R1011	:B3GNT31g
R1012	:B3GNT32g
